Date,Category,Amount,Payment_Method,Month,Year,Day_Name,Is_Weekend,Spending_Level,Expense_Type,Month_Name,Daily_Total
2024-06-06,Transport,263.17,CASH,6,2024,Thursday,False,Low,Non-Essential,June,4844.84
2024-06-28,Food,402.58,UPI,6,2024,Friday,False,Low,Essential,June,3630.71
2024-06-26,Transport,55.19,CARD,6,2024,Wednesday,False,Low,Non-Essential,June,2363.61
2024-04-12,Healthcare,335.09,CASH,4,2024,Friday,False,Low,Essential,April,2529.08
2024-04-03,Transport,97.47,CASH,4,2024,Wednesday,False,Low,Non-Essential,April,1726.75
2024-04-08,Healthcare,466.27,CASH,4,2024,Monday,False,Low,Essential,April,3398.9500000000003
2024-05-27,Food,260.36,CARD,5,2024,Monday,False,Low,Essential,May,7615.41
2024-04-01,Food,453.2,CARD,4,2024,Monday,False,Low,Essential,April,1786.73
2024-05-05,Food,152.23,CARD,5,2024,Sunday,True,Low,Essential,May,3867.46
2024-04-25,Healthcare,750.01,CASH,4,2024,Thursday,False,Medium,Essential,April,1033.67
2024-06-01,Healthcare,1639.04,UPI,6,2024,Saturday,True,Medium,Essential,June,4283.3
2024-06-27,Transport,200.0,CARD,6,2024,Thursday,False,Low,Non-Essential,June,200.0
2024-06-21,Healthcare,1200.51,CASH,6,2024,Friday,False,Medium,Essential,June,4047.82
2024-04-30,Transport,182.36,CASH,4,2024,Tuesday,False,Low,Non-Essential,April,919.7
2024-06-05,Food,125.15,CASH,6,2024,Wednesday,False,Low,Essential,June,125.15
2024-04-18,Bills,2763.41,CASH,4,2024,Thursday,False,High,Essential,April,6778.99
2024-04-28,Food,442.05,CARD,4,2024,Sunday,True,Low,Essential,April,4365.77
2024-05-31,Healthcare,730.62,CASH,5,2024,Friday,False,Medium,Essential,May,5138.1
2024-06-11,Healthcare,1789.15,CASH,6,2024,Tuesday,False,Medium,Essential,June,3254.77
2024-04-26,Bills,2660.25,CASH,4,2024,Friday,False,High,Essential,April,2660.25
2024-05-04,Healthcare,735.42,CARD,5,2024,Saturday,True,Medium,Essential,May,1226.64
2024-05-05,Bills,1953.67,CARD,5,2024,Sunday,True,Medium,Essential,May,3867.46
2024-06-06,Bills,2576.78,UPI,6,2024,Thursday,False,High,Essential,June,4844.84
2024-04-30,Transport,90.63,UPI,4,2024,Tuesday,False,Low,Non-Essential,April,919.7
2024-06-24,Healthcare,666.07,CARD,6,2024,Monday,False,Medium,Essential,June,5429.389999999999
2024-06-25,Healthcare,1086.63,CASH,6,2024,Tuesday,False,Medium,Essential,June,5946.66
2024-06-06,Healthcare,520.43,CARD,6,2024,Thursday,False,Medium,Essential,June,4844.84
2024-05-21,Transport,213.83,CASH,5,2024,Tuesday,False,Low,Non-Essential,May,6973.04
2024-04-11,Bills,2443.64,UPI,4,2024,Thursday,False,High,Essential,April,2443.64
2024-06-02,Transport,248.16,CARD,6,2024,Sunday,True,Low,Non-Essential,June,248.16
2024-04-21,Healthcare,939.6,CASH,4,2024,Sunday,True,Medium,Essential,April,2230.45
2024-06-16,Transport,263.37,UPI,6,2024,Sunday,True,Low,Non-Essential,June,517.64
2024-04-12,Bills,2193.99,CASH,4,2024,Friday,False,High,Essential,April,2529.08
2024-05-26,Transport,169.62,CASH,5,2024,Sunday,True,Low,Non-Essential,May,1395.48
2024-05-12,Transport,88.44,CARD,5,2024,Sunday,True,Low,Non-Essential,May,295.87
2024-06-17,Healthcare,711.59,CARD,6,2024,Monday,False,Medium,Essential,June,5427.16
2024-05-16,Bills,2084.93,CARD,5,2024,Thursday,False,High,Essential,May,3935.12
2024-05-26,Transport,283.47,CARD,5,2024,Sunday,True,Low,Non-Essential,May,1395.48
2024-06-17,Food,178.64,CARD,6,2024,Monday,False,Low,Essential,June,5427.16
2024-05-31,Healthcare,1906.53,CASH,5,2024,Friday,False,Medium,Essential,May,5138.1
2024-06-17,Bills,2259.79,CASH,6,2024,Monday,False,High,Essential,June,5427.16
2024-05-05,Bills,1761.56,CASH,5,2024,Sunday,True,Medium,Essential,May,3867.46
2024-06-28,Bills,1365.34,UPI,6,2024,Friday,False,Medium,Essential,June,3630.71
2024-06-07,Transport,298.36,UPI,6,2024,Friday,False,Low,Non-Essential,June,6901.35
2024-05-09,Food,197.2,CARD,5,2024,Thursday,False,Low,Essential,May,2687.76
